timestep,gain,error_deg,locked,reward
50,0.5592438196554458,10.84870227488537,0.5,0.736297511860683
100,0.45150950161501696,11.288187909632608,0.3,0.5560221678926807
150,0.4651573520482321,11.585180180545162,0.1,0.4643482634647387
200,0.43716778503350123,12.246084558992425,0.0,0.4198697645233159
250,0.4738107853849979,11.93212211488759,0.1,0.49878990061870265
300,0.3300240549027652,12.755665255528529,0.0,0.2817918237429413
350,0.40670594641216723,12.051813766865232,0.2,0.440917194018904
400,0.36905603332939785,12.498266131221735,0.2,0.3551003679948475
450,0.3976899483142543,11.872136805254952,0.2,0.4405155305383922
500,0.370784913324926,11.900605235192966,0.1,0.38320523437445514
550,0.36530325064253366,11.598114717450814,0.2,0.46754013751704787
600,0.3850416523380757,11.563383794260057,0.3,0.5715853079290248
650,0.3145490529526811,12.997712585936886,0.1,0.33639625511600146
700,0.34580600234660286,12.861847626003017,0.1,0.3153522769468283
750,0.3070255526853941,13.752347813027052,0.0,0.2357592568195903
800,0.34985007645885474,13.72644385752291,0.0,0.3189595665762509
850,0.3360386595066117,13.79994654127963,0.2,0.33298987790014273
900,0.2587358702429293,14.439303254742109,0.0,0.23250818420101654
950,0.35565294428873634,13.549998265528155,0.2,0.4434730665075485
1000,0.442186321792312,12.245279273651395,0.3,0.5356918369805941
1050,0.3849571671730415,13.381108689567636,0.1,0.31742589365513807
1100,0.4043725748710452,12.775060432971124,0.3,0.4599490562083015
1150,0.38138510768591705,13.346635353404713,0.2,0.43262699992370396
1200,0.36018243022012386,13.55312147526659,0.2,0.43086670323772297
1250,0.356404360413901,13.343526732310755,0.2,0.3723406985972338
1300,0.24538215362547197,14.993727306190824,0.1,0.1880368544629112
1350,0.27924005596143553,14.342761986594994,0.1,0.2685047497198134
1400,0.24865113631394578,15.064321899883694,0.0,0.13123658388763385
1450,0.26724594228605386,15.383881466403665,0.0,0.09851738050702367
1500,0.2205833802750477,16.00280226986725,0.0,0.09059829209541584
1550,0.28992891406655596,15.273823968804994,0.2,0.27178072757087846
1600,0.2769109792544879,14.110445852335122,0.1,0.2386392147645858
1650,0.20438335169113303,15.642440550366643,0.1,0.12326070730585637
1700,0.1943940828478132,15.855204102895405,0.0,-0.02988671659302684
1750,0.1531337829907463,16.301789833861022,0.0,-0.07170274234554282
1800,0.14889286473544067,16.628013130165055,0.1,-0.03428946011187741
1850,0.161803441115394,15.856572672333865,0.1,0.01665559009900681
1900,0.16136483417894879,15.65517607247167,0.0,-0.02167824545125
1950,0.22283075150764792,14.939005064513378,0.1,0.11068836703157736
2000,0.2564916308592274,14.409563381663432,0.1,0.16529478041729528
2050,0.2563377016088059,14.182214854261968,0.2,0.1797797127683545
2100,0.23642600259052596,15.053628599817173,0.2,0.2030951502274581
2150,0.23508383166841745,15.387890935439392,0.1,0.13506083554880927
2200,0.20867052112069842,15.76552402114702,0.0,0.05523649641561457
2250,0.27500255695188897,14.742836008444494,0.0,0.15011892936391585
2300,0.24994998366743731,15.42792110218696,0.0,0.1392138886871929
2350,0.23934513314052422,15.46911116291247,0.0,0.13686827647641472
2400,0.218873699239226,15.8594119228437,0.0,0.13490628585119285
2450,0.28314999978672156,15.496348634859988,0.0,0.195286795753137
2500,0.26891610937654126,15.500642045929009,0.0,0.11512509299159204
2550,0.28857430551714497,15.631991572657768,0.1,0.22311489279337932
2600,0.27473337990843694,15.838418431055022,0.1,0.18004571160455418
2650,0.3566982934905239,14.255218829482757,0.1,0.31973320704635194
2700,0.34209671670499026,14.386831526764647,0.0,0.20461894722104318
2750,0.29473165318165223,14.907249215272822,0.1,0.22732237198938554
2800,0.27961037028575036,14.668172379181048,0.1,0.2096960747831047
2850,0.22838499846942106,15.147147977731626,0.0,0.12250976594405508
2900,0.26078084437485494,14.772921778171613,0.0,0.19497716233200452
2950,0.30256670584450046,14.064013001871544,0.0,0.19719645252743176
