#{"t_start": 1780269997.8411567, "env_id": "None"}
r,l,t
-78.960075,500,8.763883
58.718863,500,110.713924
320.213231,500,206.474009
-3.520266,500,300.676929
35.285507,500,439.742527
-163.53378,500,533.61679
18.525828,500,630.136846
36.428945,500,717.939942
-154.364475,500,838.498981
267.951739,500,934.268075
268.673663,500,1019.190331
40.570982,500,1102.133361
-169.145827,500,1218.917664
-91.180386,500,1294.928589
-149.515348,500,1366.752467
271.829771,500,1431.735343
-139.541577,500,1540.505635
173.834837,500,1612.5558
263.921715,500,1683.045615
156.414428,500,1746.074783
-166.65637,500,1850.451665
-168.359006,500,1915.857055
652.070395,500,1981.275974
-85.748979,500,2049.468433
156.176954,500,2153.88354
-136.139879,500,2220.734417
-126.838592,500,2289.690695
656.036238,500,2361.249935
466.215403,500,2466.444757
-87.89368,500,2545.571748
-66.069479,500,2626.624848
-99.37909,500,2699.94183
-173.376112,500,2817.627478
-171.086983,500,2891.750407
-124.305816,500,2979.829998
-49.434303,500,3071.813596
122.872294,500,3191.969214
-144.37648,500,3283.214834
-173.045508,500,3381.791613
2.806372,500,3464.983452
-144.576293,500,3588.579734
-163.586318,500,3691.518778
539.09579,500,3696.388207
-170.273633,500,3787.98258
-58.186354,500,3909.935107
-168.008343,500,3997.733537
-170.942243,500,4079.359103
10.662858,500,4160.475277
-132.771918,500,4273.281301
167.941745,500,4364.211728
420.701294,500,4455.503192
-3.532537,500,4536.702641
-171.816122,500,4650.936222
590.106654,500,4724.645297
-156.916946,500,4808.97178
-173.398609,500,4885.021114
454.670769,500,4995.378302
-166.253353,500,5069.335965
-22.400665,500,5148.006497
-140.439878,500,5218.94764
-71.549833,500,5321.343557
-173.606587,500,5390.029366
-79.332573,500,5462.469699
647.446164,500,5532.363352
327.841348,500,5644.466973
66.657654,500,5711.863701
-171.561522,500,5780.15554
680.00009,500,5850.907586
533.355873,500,5960.554384
314.350807,500,6031.924368
-139.629914,500,6108.576666
174.392803,500,6184.835178
-114.523321,500,6306.651428
412.95708,500,6378.621923
147.576599,500,6462.314785
-21.265432,500,6546.021661
287.139249,500,6678.184795
746.189231,500,6767.249365
304.628373,500,6856.749562
328.094215,500,6957.825552
-51.787785,500,7121.014771
4.755851,500,7222.118241
211.587104,500,7322.110695
110.734741,500,7426.705904
-30.366131,500,7586.892817
-160.291585,500,7594.129931
-169.148158,500,7702.065986
-85.563815,500,7803.903022
251.007001,500,7966.104526
-163.183246,500,8066.730163
-95.475521,500,8158.007279
2.275004,500,8264.213486
80.751512,500,8423.162531
364.872032,500,8518.242217
148.58362,500,8622.944138
-32.333293,500,8717.614179
477.443679,500,8873.878372
-161.506972,500,8960.417705
163.017296,500,9045.017312
48.230232,500,9124.218159
614.639743,500,9252.196405
493.40814,500,9327.907407
36.802978,500,9400.643477
-160.586208,500,9483.290749
-142.446047,500,9607.468025
113.695687,500,9678.614966
147.79725,500,9749.520603
311.721336,500,9821.662667
-158.505521,500,9936.026593
739.334968,500,10011.077407
591.056881,500,10092.347924
199.586236,500,10172.124713
-168.630049,500,10294.903751
-170.228103,500,10365.646988
463.359651,500,10441.4767
533.553665,500,10527.691153
