#{"t_start": 1780269998.0617664, "env_id": "None"}
r,l,t
239.069466,500,8.54342
472.182199,500,110.492644
62.283177,500,206.25412
36.734085,500,300.455934
-83.245668,500,439.52286
-161.988692,500,533.396733
-164.279293,500,629.916153
-167.232854,500,717.719999
-48.833439,500,838.278999
-129.236602,500,934.047793
-96.024814,500,1018.970508
-118.266603,500,1101.912835
258.921643,500,1218.697331
371.962657,500,1294.705707
523.21037,500,1366.532065
-77.284997,500,1431.515068
76.655006,500,1540.28482
281.950732,500,1612.336107
-162.789779,500,1682.825054
293.351744,500,1745.854268
-32.35948,500,1850.23085
179.555778,500,1915.636742
155.319084,500,1981.055355
-111.394025,500,2049.246545
-144.532169,500,2153.662158
-107.486529,500,2220.513862
-172.632629,500,2289.47131
-155.665779,500,2361.029325
681.625593,500,2466.224024
-146.93172,500,2545.350251
22.744491,500,2626.405521
380.525303,500,2699.722204
-66.555727,500,2817.407176
-169.898343,500,2891.530932
304.486392,500,2979.60846
-174.007305,500,3071.593197
107.254986,500,3191.747127
68.250366,500,3282.994665
-105.985738,500,3381.571003
-136.430186,500,3464.762851
135.402582,500,3588.359327
-58.25762,500,3691.298247
1.098201,500,3696.166527
-153.368113,500,3787.762416
174.169918,500,3909.71472
-145.526033,500,3997.513065
-132.133207,500,4079.140317
581.636388,500,4160.253853
15.421429,500,4273.063189
8.178044,500,4363.991016
345.615559,500,4455.282583
213.748615,500,4536.48215
113.169344,500,4650.716106
-171.829709,500,4724.423362
2.295931,500,4808.751357
-174.002448,500,4884.800437
184.49887,500,4995.15654
131.09686,500,5069.115594
119.716464,500,5147.785558
401.155038,500,5218.728025
615.559749,500,5321.123466
72.187279,500,5389.809282
-142.971781,500,5462.250823
-170.357658,500,5532.143373
289.992903,500,5644.246408
516.122136,500,5711.644237
-152.080866,500,5779.935164
63.171625,500,5850.686493
-171.070718,500,5960.333889
377.543882,500,6031.704136
128.313735,500,6108.356144
213.237835,500,6184.61471
-26.692764,500,6306.431752
183.18716,500,6378.401314
-10.622652,500,6462.092972
553.491354,500,6545.80166
-72.022933,500,6677.963722
204.127473,500,6767.029958
-162.088177,500,6856.529414
255.5421,500,6957.604086
-169.412818,500,7120.794378
-14.868386,500,7221.899295
179.936009,500,7321.890152
675.663974,500,7426.485434
518.634186,500,7586.672632
-151.251175,500,7593.909917
-169.895616,500,7701.84347
285.075327,500,7803.682412
-29.173534,500,7965.884117
43.101812,500,8066.509771
-155.936116,500,8157.786823
-141.324084,500,8263.991705
820.962155,500,8422.942306
-91.746088,500,8518.023763
820.971176,500,8622.724179
89.415545,500,8717.393174
361.773756,500,8873.660304
372.942187,500,8960.196333
-97.692272,500,9044.798477
-106.786094,500,9123.998602
78.103975,500,9251.975709
-154.367319,500,9327.685466
236.108315,500,9400.42272
492.544543,500,9483.070565
