timestep,gain,error_deg,locked,reward
500,0.37635365713079294,14.821125482372514,0.3,0.4443665055215248
1000,0.395863376715048,14.48000882395281,0.3,0.46996075678047644
1500,0.13407478837055162,17.562601717658605,0.0,-0.051375036255239606
2000,0.07105547287264706,20.19884070349309,0.0,-0.20703133279470104
2500,0.024234275008376393,24.93906632459162,0.0,-0.25697410528690895
3000,0.08802750139521144,22.777077368787356,0.1,-0.13800544733224684
3500,0.12219507023611227,22.99072845209807,0.1,-0.04226213146341119
4000,0.12785841434741435,23.205605418770944,0.1,-0.04656494462781577
4500,0.15288009259692886,23.883853348086,0.0,-0.0325698595330442
5000,0.06280955791027869,26.39707296137366,0.0,-0.17039714225914424
5500,0.2555602991180167,12.587170011111303,0.1,0.2384058998297883
6000,0.26561673744470077,12.323610981455019,0.1,0.2459857157261239
6500,0.35590269056295826,11.031011582892505,0.1,0.3871977667593716
7000,0.1347933590890838,14.981223846986333,0.0,-0.043196755819039576
7500,0.17866240763018454,15.137168545494958,0.0,0.09786761310764805
8000,0.17198609907900123,17.835262129568303,0.0,0.03838692582023897
8500,0.022501682234870795,20.516878473869546,0.0,-0.2740493500077656
9000,0.089899661205958,23.0773866772142,0.0,-0.09995575970040345
9500,0.11910021931158439,22.382504928208032,0.0,-0.017078709532710866
10000,0.14571081522013432,21.286702817911866,0.0,0.0005161379340692274
10500,0.22436849530932118,16.627312572200122,0.0,0.11527318703210535
11000,0.19426186834179593,20.290264429655664,0.1,0.1387745502809767
11500,0.21237485999955452,17.639213314624534,0.0,0.07665276491493729
12000,0.1534666887860947,18.162818982311116,0.0,-0.01178835896458894
12500,0.16513885344909685,17.031374461763733,0.0,0.04545571764916774
13000,0.2202761818563852,15.435175845452644,0.1,0.13685858193001005
13500,0.15399170936727785,17.321553671929053,0.1,0.05866395841261211
14000,0.12218488955894298,17.830875497586025,0.0,-0.06096017508763092
14500,0.13397748084576452,16.929001411941492,0.1,0.021411488300589254
15000,0.1717561605077886,16.75486703201502,0.2,0.11895854690060959
15500,0.4071351419134298,12.846486563188162,0.3,0.4584567120179651
16000,0.38977534717028234,13.26082031785831,0.3,0.42361189937301996
16500,0.3247214421344045,14.052200801910491,0.3,0.3886978980822656
17000,0.2962222488315113,15.531333638408224,0.2,0.2416342144415407
17500,0.2531751437932791,16.480881232128628,0.1,0.15638030852349247
18000,0.30266047953725833,15.88360128718917,0.1,0.1797080555270459
18500,0.2784204830694221,16.95664540668629,0.1,0.1814080922766781
19000,0.2550747114774462,17.251348835145613,0.1,0.1510380554652233
19500,0.27929742581588424,16.920767006970376,0.1,0.17810125088774445
20000,0.28547853469861195,17.02627711777722,0.3,0.31215072031771046
20500,0.3872285653269557,11.673490812112098,0.3,0.4705341310823237
21000,0.2903975557848592,12.933662578622734,0.3,0.38235553397844313
21500,0.31553649531324857,12.481952832016315,0.3,0.4102838201268802
22000,0.3009779455215698,12.769162738406942,0.2,0.34291920409024274
22500,0.2781007462399247,13.365589162760125,0.2,0.3118413305232576
23000,0.33173512192355664,12.732488166549519,0.2,0.3811796248904707
23500,0.300527992931723,12.891357474116052,0.2,0.3229227030555051
24000,0.34807186285331815,12.14748158110659,0.2,0.40000424241418164
24500,0.3593263467364317,12.805063496557304,0.2,0.3677538782169545
25000,0.37262143954431787,12.286808407052014,0.2,0.36879886464426004
25500,0.26652128808126874,15.773138675089172,0.3,0.2440797559849115
26000,0.2243438864570118,16.461254502456544,0.1,0.0824527578524117
26500,0.22707387606228271,16.153409677760994,0.2,0.17608403571764
27000,0.20511189635760113,16.422436661155913,0.1,0.0831238181275673
27500,0.16987294291575325,16.451145137517706,0.1,0.02531893593525632
28000,0.23044802757583915,16.05210802467233,0.2,0.18202569591164183
