timestep,gain,error_deg,locked,reward
50,0.5592438196554458,10.84870227488537,0.5,0.736297511860683
100,0.45150950161501696,11.288187909632608,0.3,0.5560221678926807
150,0.4102054475180236,11.372003585656845,0.2,0.4862606685431392
200,0.3792784493052649,12.687247062124591,0.2,0.36079190148322543
250,0.35000912474051565,12.859560493042617,0.2,0.303325727897002
300,0.32976892934175267,13.161163589043301,0.1,0.29815876544091646
350,0.3385136018219699,13.097519171432603,0.2,0.39042631938455263
400,0.34001861530028055,12.689754967699393,0.1,0.32233076036859
450,0.27662551598968116,13.099527467115156,0.0,0.23316544211381468
500,0.31260664414184636,12.65342613728214,0.0,0.18363697230219883
550,0.2772560521823896,12.813872162233945,0.0,0.1877627713090943
600,0.26964673962551394,13.20043890846047,0.0,0.21404054181942503
650,0.2648541576745823,13.285375130818974,0.1,0.2085378204666189
700,0.3362996427213737,12.647726811408779,0.0,0.3282472235295519
750,0.30010287203322744,13.283657892442928,0.1,0.3030957714178044
800,0.2628416475892804,13.61811894222348,0.1,0.16871778657786304
850,0.24206441842319698,14.498821158581572,0.1,0.20793418562485394
900,0.21127502639813742,14.82329368724103,0.1,0.1166425790017788
950,0.20635699598706622,14.687391426777433,0.1,0.1240706478733892
1000,0.22612087547237797,15.068147178654783,0.1,0.17606926930328387
1050,0.3136802334247025,13.971473753379962,0.1,0.2580252298226551
1100,0.2864102133143257,14.860553951428894,0.1,0.22635640989419228
1150,0.265811277795858,15.611606291276086,0.2,0.20132769377224707
1200,0.2795620124415791,16.322793762817586,0.2,0.25611690711942214
1250,0.3020075033086482,16.241053304227375,0.2,0.2816605663169223
1300,0.28391780089618157,16.615568218346723,0.2,0.19777795757852026
1350,0.2519331311802076,16.85735072590304,0.0,0.125770332331893
1400,0.28355051376693596,16.039882225036873,0.0,0.13807786262791746
1450,0.27699100807685484,16.478300177726886,0.0,0.11103168117620507
1500,0.2737895712016064,15.972334223733009,0.1,0.1713271851235394
1550,0.20391552893519854,16.1104773227788,0.0,0.06061753425746561
1600,0.2220402963508974,16.259872716609976,0.0,0.10456390975664294
1650,0.21664957599046014,16.085484102647648,0.0,0.09013598583035069
1700,0.17770212047892836,17.412964840645294,0.0,0.03468028649565334
1750,0.22539261001506755,17.091990083406955,0.0,0.12032410966343746
1800,0.17916653890769968,17.274356650472324,0.0,0.021130406799668273
1850,0.21007697731564434,16.53020957798669,0.1,0.0831851032242297
1900,0.2568390770355662,15.9639502335388,0.1,0.18480665270327212
1950,0.20859364047032036,17.002694941706984,0.0,0.056687482775599485
2000,0.2370002599279813,16.86205968319129,0.0,0.11532806367336472
2050,0.22081787737097502,17.976981876446974,0.1,0.1395255351725434
2100,0.22091745473873972,17.4796878068423,0.1,0.185334948640198
2150,0.24661310666794672,17.090259813921996,0.0,0.15659860580509996
2200,0.32328141882728983,16.689118729673016,0.0,0.1954148425064346
2250,0.22952079228482442,17.767372962212626,0.0,0.09251418986892601
2300,0.15004795334141152,18.994388732782035,0.0,-0.019351592745820746
2350,0.1857042876915767,18.15260178092942,0.0,0.04620766760918854
2400,0.1512415192707798,18.290081395869553,0.0,-0.0035009599934777034
2450,0.17133944146060548,18.44287935911551,0.0,-0.017351424685496816
2500,0.15590776512453883,18.37305048532531,0.0,-0.06632562621440606
2550,0.14754591985894522,18.437729407479317,0.0,-0.10194456080418171
2600,0.1331593935869943,18.058596350213513,0.0,-0.08984338032407832
2650,0.1769493944150517,16.790262609198034,0.1,0.035749327412288354
2700,0.16119782323548162,16.629611904489764,0.0,0.001848951546228017
2750,0.1935709140791928,16.011354686058375,0.0,0.056074559546642797
2800,0.1814291550137936,17.09349488719633,0.0,-0.002323851450884229
2850,0.19343593837048412,16.778802704993684,0.0,0.06959903933546778
2900,0.19664313385855978,16.085193534191216,0.0,-0.04072246755211273
2950,0.2434216658017331,15.482405716449913,0.1,0.15508230312807864
