#{"t_start": 1780295859.5073855, "env_id": "None"}
r,l,t
-77.001949,500,39.156806
-44.247553,500,76.988518
357.592083,500,115.416994
563.975281,500,152.822587
307.934086,500,239.977371
209.996085,500,276.597713
527.022923,500,313.954563
683.967986,500,352.233823
47.026116,500,429.894413
454.66345,500,466.713373
310.29853,500,504.788576
-111.530078,500,543.238513
803.202938,500,626.849513
17.693296,500,664.225332
207.9541,500,701.645778
666.642749,500,738.387759
401.811582,500,815.864249
306.275414,500,852.590889
240.087066,500,889.42736
461.095402,500,928.097923
-11.926788,500,1010.994322
-39.84329,500,1048.96527
-173.44975,500,1086.842809
87.10966,500,1123.707645
-168.124759,500,1201.620458
-1.72342,500,1238.143489
826.703618,500,1274.920075
-168.052645,500,1312.200489
660.237009,500,1395.495932
509.31882,500,1432.548288
36.071382,500,1471.7418
579.753042,500,1508.142527
681.338148,500,1587.761773
-171.300661,500,1625.65869
522.37574,500,1663.436378
319.894807,500,1699.615965
253.416559,500,1782.441406
693.171216,500,1820.25165
273.917768,500,1857.784523
412.715538,500,1893.611291
165.146383,500,1971.226936
-149.105382,500,2003.969557
-168.979407,500,2039.641853
344.777359,500,2071.701504
806.369696,500,2142.489625
310.371821,500,2174.439647
675.263244,500,2205.908947
334.136648,500,2236.294375
-117.934476,500,2306.724342
679.134342,500,2337.6354
107.615522,500,2367.768551
-95.472925,500,2398.331766
870.006002,500,2478.116839
577.37789,500,2515.364117
715.327684,500,2551.381708
838.217739,500,2587.425146
393.117388,500,2673.843301
678.336695,500,2711.609219
99.587179,500,2748.389667
134.621039,500,2783.353277
-165.018686,500,2864.431443
446.31715,500,2900.577369
117.325706,500,2936.665178
-148.446922,500,2974.438313
479.691131,500,3061.976551
-173.773391,500,3098.640132
634.24793,500,3134.783722
-167.23816,500,3172.538871
710.257734,500,3256.850833
-132.426332,500,3291.582932
319.009338,500,3327.878997
335.125359,500,3366.283769
869.39454,500,3453.784735
845.962274,500,3489.052262
203.869149,500,3525.460957
263.078344,500,3562.767727
400.699041,500,3644.776243
719.885646,500,3678.570164
274.28935,500,3716.26953
802.34744,500,3753.300268
558.670312,500,3837.724057
607.913764,500,3873.750135
448.753743,500,3911.061086
-171.741464,500,3949.560012
-155.816117,500,4034.019603
554.421774,500,4069.572885
-129.698321,500,4106.937754
-170.459892,500,4142.558388
-158.980984,500,4225.223039
381.185878,500,4261.379368
-145.948887,500,4298.610116
517.330059,500,4336.606778
-166.265981,500,4420.651108
-140.176997,500,4456.923091
878.161908,500,4494.190023
170.474923,500,4531.267555
-141.055319,500,4611.084438
232.060392,500,4647.099584
-56.373126,500,4684.533097
656.660351,500,4722.135401
-137.818631,500,4804.555824
824.058056,500,4841.536564
-165.956404,500,4879.028829
878.877889,500,4916.80613
185.744797,500,4997.509863
273.502148,500,5031.635919
338.829321,500,5066.031448
77.314526,500,5101.320237
268.715778,500,5169.656019
840.840111,500,5202.643407
-155.973222,500,5235.627933
772.028787,500,5268.329597
-135.098955,500,5335.695617
330.545195,500,5367.747606
301.288692,500,5399.061851
594.655864,500,5431.062687
-165.598651,500,5500.568537
-174.139569,500,5537.130949
873.788402,500,5573.217369
-170.649354,500,5611.889669
551.957794,500,5693.369165
-129.73535,500,5731.199412
655.523977,500,5765.90117
-171.700893,500,5800.993248
706.076673,500,5882.074466
803.140675,500,5919.508656
455.936997,500,5956.946782
311.364675,500,5994.715901
-161.316805,500,6075.593128
-83.078481,500,6113.391072
-171.416636,500,6148.862772
-153.087862,500,6183.940049
-164.516125,500,6264.608786
714.956277,500,6302.068197
-158.436152,500,6339.259042
866.778134,500,6377.084042
226.983141,500,6459.302905
160.081144,500,6496.453528
311.945175,500,6534.522922
81.985461,500,6568.561706
266.269765,500,6649.708967
869.315617,500,6688.19415
451.311336,500,6726.64399
361.141325,500,6763.151749
242.870567,500,6840.271237
304.196658,500,6875.37013
-74.502684,500,6909.712797
834.717054,500,6944.565239
682.128153,500,7015.123177
428.364636,500,7049.600498
15.034801,500,7084.395724
872.229216,500,7119.063619
-105.873975,500,7194.049944
-112.023462,500,7229.187832
233.09074,500,7264.053751
859.374722,500,7298.987066
532.907784,500,7372.914831
-68.672833,500,7405.458625
520.345443,500,7440.125253
596.829194,500,7475.441358
873.728473,500,7549.949681
80.499042,500,7585.923465
858.86285,500,7620.840738
709.141508,500,7655.97984
489.554664,500,7733.694439
710.100948,500,7768.190229
413.857805,500,7802.754996
770.297445,500,7836.618784
211.264808,500,7909.734743
801.526588,500,7945.387326
328.128013,500,7980.714214
749.999137,500,8015.485593
643.882622,500,8086.898993
307.834969,500,8119.531063
646.383547,500,8149.896804
373.378142,500,8179.907473
-112.135384,500,8241.46322
529.178682,500,8271.525625
64.980089,500,8301.02542
51.388706,500,8331.589009
446.686367,500,8394.977712
418.9014,500,8425.125309
876.691603,500,8454.990012
826.76361,500,8484.766834
123.552017,500,8560.84098
441.662883,500,8596.220016
257.131223,500,8630.498315
359.186905,500,8662.973532
161.518001,500,8739.205721
183.131411,500,8774.388985
773.930087,500,8808.96707
694.637302,500,8843.470168
234.417339,500,8920.31701
720.663619,500,8954.955415
772.022194,500,8989.450499
349.756439,500,9024.335933
-174.028369,500,9098.697855
564.905279,500,9132.988704
81.64237,500,9168.796596
362.194971,500,9204.750272
810.21745,500,9280.849957
143.326193,500,9315.749952
462.750093,500,9351.286917
156.640709,500,9386.50954
403.744007,500,9462.156366
793.93322,500,9495.700288
570.984132,500,9530.445031
