timestep,gain,error_deg,locked,reward
50,0.5592438196554458,10.84870227488537,0.5,0.736297511860683
100,0.45150950161501696,11.288187909632608,0.3,0.5560221678926807
150,0.45800531678971684,11.287615053218468,0.2,0.525658698480736
200,0.49184919245004044,11.522780858145632,0.3,0.6074270460350574
250,0.5201702875856067,11.47841785761477,0.3,0.6458636021639583
300,0.4811948767765027,11.686042910557244,0.4,0.6193362778216052
350,0.43393712460065653,12.653541482413365,0.3,0.5047302459785115
400,0.48025295284829567,11.993524564771093,0.4,0.6594324017688733
450,0.45529445600830665,12.587023887145673,0.2,0.5003180999414822
500,0.47674279705719763,12.309400588068842,0.3,0.5595215804837435
550,0.40870980722580025,12.626928948381375,0.3,0.48646002955976975
600,0.36355650725526,13.550031429402091,0.1,0.28471971838891885
650,0.22738878933583448,15.098462411610601,0.0,0.1171227293947891
700,0.1801285553426924,15.85396698366524,0.1,0.0922224537225538
750,0.18171378354305928,16.12712119487547,0.0,0.0285312952501953
800,0.20870417687564347,15.448083419687753,0.0,0.14574665911389037
850,0.17612332643930895,16.731084216277843,0.0,0.07625774874287018
900,0.16496091174982808,16.038268513678922,0.0,0.07870562882164266
950,0.123492694608162,16.240872250926312,0.0,-0.033060747629515906
1000,0.11259415775275934,16.280928820098545,0.0,-0.059514179827646875
1050,0.15168489330837237,16.112136946950045,0.0,-0.0018815819087043494
1100,0.18013244974619974,15.473177055883832,0.1,0.08497516351369103
1150,0.15319989793498487,15.754532199830383,0.0,-0.07308496803707172
1200,0.16853383963725463,14.96311180369409,0.0,-0.003973550483819849
1250,0.13872116218093036,14.737853816409645,0.0,0.03518496458847635
1300,0.11674832116224147,15.026040062380883,0.0,-0.08145106192834742
1350,0.1021878823014899,15.480115747843803,0.0,-0.03563342797481754
1400,0.05291507196847454,16.252639401854044,0.0,-0.17833227598838164
1450,0.09251171234732182,16.05870829001956,0.0,-0.13457084173028758
1500,0.14176774621830102,15.8457762479552,0.1,-0.0210226265761288
1550,0.09250870469863053,16.677267375912514,0.0,-0.18612298634065397
1600,0.1133886200016618,16.153698175649176,0.0,-0.1192688147341144
1650,0.07002436192363919,16.034588355341423,0.0,-0.19146988436741177
1700,0.15871990952910825,14.72346642979841,0.1,0.014433757492950339
1750,0.17973180099755287,14.379688424688624,0.1,0.027925969775917703
1800,0.15733231964302202,15.207473380185629,0.0,-0.08514025739410229
1850,0.15692061068315125,14.99022687505865,0.0,-0.02827806865803435
1900,0.28454063183570794,13.141962625134209,0.1,0.23247700434712307
1950,0.27780422771355057,12.751446611207587,0.1,0.2256841458082528
2000,0.3359704552539396,12.134425520115755,0.1,0.2897448113494933
2050,0.3331139313849171,12.367280857906312,0.1,0.2962377210154973
2100,0.2965923306906649,13.081343786523746,0.0,0.17824421324960427
2150,0.369635391690053,12.470945516980546,0.1,0.31680853261094066
2200,0.30848616274293805,14.322910215106068,0.0,0.18537834574687326
2250,0.22967628367526666,15.707633890807362,0.0,0.10307909819627721
2300,0.1607280556884337,16.04763265559254,0.0,0.023320747195298787
2350,0.1726423451244483,15.59011796902469,0.0,0.03851490439157922
2400,0.20829903207315742,15.091569690302284,0.0,0.14732746457309584
2450,0.2027371589949727,15.272179510731178,0.0,0.0311544175800108
2500,0.21202838301062657,15.189309703101838,0.0,0.12402509404012747
2550,0.3103351522518186,14.07320902934878,0.1,0.26243446608609944
2600,0.31301635462501187,14.449542934436352,0.2,0.25418087109301657
2650,0.2949978313338017,14.659816697564654,0.2,0.28246318776859763
2700,0.22975424339802136,15.107638408025704,0.0,0.10930207856930588
2750,0.2093425189078589,15.084562363490202,0.0,0.01697793858032869
2800,0.21706124757667639,14.695062925991309,0.1,0.19650495536506707
2850,0.24600970698210656,14.55237046973176,0.0,0.13501541076274465
2900,0.19318690224900478,15.651475401014357,0.0,-0.013070616165365234
2950,0.16578875245120886,16.190261460485253,0.0,-0.044499994823606906
