timestep,gain,error_deg,locked,reward
50,0.5592438196554458,10.84870227488537,0.5,0.736297511860683
100,0.45150950161501696,11.288187909632608,0.3,0.5560221678926807
150,0.5038307324480223,10.983945585621518,0.4,0.6589540540387143
200,0.46769310243773754,11.573074045640247,0.2,0.4908741765039101
250,0.46359676609856304,11.359064983504288,0.3,0.5807254721722399
300,0.43272457910144607,12.189648769236234,0.3,0.5545627322194656
350,0.5160743337185104,11.292073565761248,0.4,0.721678462680112
400,0.4864793127166477,11.76105827731527,0.2,0.5606417808584477
450,0.49253059781684627,11.305169444406852,0.4,0.6925647426304646
500,0.4722125033126366,11.660328416825653,0.3,0.5595412529476065
550,0.4388337519372545,12.250879714235504,0.3,0.49852841252210334
600,0.35684080751319086,13.164481678013223,0.2,0.3673014826649214
650,0.3342831239036534,13.312821473234674,0.0,0.3102604767845868
700,0.3755239566168408,13.709714124505917,0.0,0.3010734018650492
750,0.35432829813559075,14.147283265611131,0.1,0.3653573179144575
800,0.3166476130692775,14.613140249346808,0.0,0.21681618353680765
850,0.3198817107837972,14.69041726057491,0.1,0.32571279635099903
900,0.33106300228230007,14.4517265167682,0.0,0.23898921214557842
950,0.35771046685180224,13.922688180719751,0.1,0.3525167263939907
1000,0.3287628968329059,14.107757893633803,0.1,0.3847985268976556
1050,0.2798384677979203,14.483218781490791,0.0,0.2479724262428888
1100,0.32274786811190287,13.83012116670784,0.0,0.3429018664019236
1150,0.4066972863806425,12.774581416339549,0.0,0.39134493371894835
1200,0.36477304731979154,12.936681416747309,0.2,0.4214674338943585
1250,0.4174050471039535,12.018307100416196,0.2,0.5322060195605536
1300,0.4044434973839256,12.23238721274043,0.0,0.4389698744647294
1350,0.4189886101972634,12.040811966159442,0.1,0.4716122242398059
1400,0.43377666845667234,12.09298196819763,0.1,0.49645293749415814
1450,0.3906575823098671,12.181799934146571,0.2,0.4693365873454926
1500,0.34222837804738493,12.519001154492589,0.2,0.4143721630319974
1550,0.33960553232802126,12.76679169353354,0.1,0.3491559265172651
1600,0.4356289986433598,11.64553529577221,0.1,0.44307328441907207
1650,0.4005184540491543,11.972357485319083,0.1,0.447904623244161
1700,0.4300186927224609,11.340466453510626,0.2,0.5298011131386835
1750,0.40327132074533195,12.017837419178507,0.1,0.4589301584732972
1800,0.38914282506343467,11.598988337982721,0.1,0.42728358233103403
1850,0.4753526711396446,10.922850095186629,0.3,0.5499615310120227
1900,0.47755007029095237,11.258755716652024,0.2,0.463793059993549
1950,0.42427303595075,12.767135796100314,0.1,0.37720747913983377
2000,0.4594466683248605,12.042063424578334,0.2,0.5037457459179546
2050,0.4415239135460644,11.949596083151166,0.3,0.5032185897907968
2100,0.34064175463563606,13.08966614761997,0.0,0.20502038656368607
2150,0.4193360159407643,12.483854926867714,0.1,0.4193785466839494
2200,0.3662784042173244,13.359255278714835,0.1,0.32476247367706323
2250,0.32682817527120633,13.370413054867361,0.0,0.20597953273575692
2300,0.2845475366380906,13.291727869879068,0.0,0.19420684766253443
2350,0.23906472989297606,13.941773801537659,0.0,0.11254743358709204
2400,0.33992219411042435,12.77387258195772,0.0,0.2510579150851075
2450,0.3298890262557404,13.262214302334684,0.0,0.2483759395002708
2500,0.3085228305786579,13.269802221225461,0.1,0.27832127266288814
2550,0.26974758973743596,13.214392320149315,0.0,0.1840295419201124
2600,0.29760920421210146,12.888530929669406,0.1,0.2728011200754422
2650,0.2932060483426314,13.543062463270436,0.0,0.16323618062524398
2700,0.30905800165551767,13.52650242745726,0.1,0.23980330296010122
2750,0.3219910803560576,12.806621079280095,0.0,0.24695664059530026
2800,0.351882443413996,13.359691713450406,0.1,0.31054891414755054
2850,0.3202024064843856,14.040223753030208,0.1,0.28504064334994333
2900,0.2924105906555988,13.544176178114578,0.1,0.2237063869447143
2950,0.2907835165956475,12.780881809612149,0.1,0.24957891566943133
