#{"t_start": 1780311735.690342, "env_id": "None"}
r,l,t
109.3117,500,35.929862
-169.480672,500,68.59652
392.195725,500,100.923783
357.598415,500,131.758778
480.727533,500,200.867646
440.119533,500,234.044656
357.186752,500,266.526462
604.135515,500,299.995678
237.544652,500,373.401824
689.587822,500,406.163106
349.27456,500,438.901565
312.407637,500,470.70366
431.343855,500,541.656894
742.505432,500,574.268392
486.116007,500,606.908125
578.94928,500,641.359236
250.013592,500,715.494889
-123.831557,500,747.554835
27.195582,500,779.981768
9.913911,500,814.299296
323.897927,500,889.082039
765.027334,500,920.799123
-63.247257,500,952.262963
297.870335,500,982.166279
-170.987169,500,1052.130689
577.56623,500,1080.252706
826.277092,500,1108.975956
580.12926,500,1137.596485
298.647691,500,1199.452626
282.985756,500,1227.431629
444.151126,500,1254.638743
45.193215,500,1282.787946
22.837761,500,1343.766507
-135.94482,500,1370.459374
209.522583,500,1397.505329
-22.463565,500,1428.932414
219.387118,500,1503.797045
-156.49104,500,1536.431999
834.924169,500,1569.913757
206.438908,500,1603.118312
258.128425,500,1676.761395
540.595109,500,1709.942849
877.487394,500,1741.72626
787.861157,500,1773.772463
258.800218,500,1845.256217
234.544832,500,1877.603579
-162.680126,500,1909.930503
863.978582,500,1942.300627
424.978106,500,2017.077807
205.106682,500,2050.442206
-166.339031,500,2083.583444
756.88657,500,2118.016318
-127.953207,500,2199.202933
388.67893,500,2237.562566
744.607628,500,2273.275806
214.181386,500,2312.263633
54.379754,500,2399.468462
852.87944,500,2435.085646
640.245191,500,2472.206024
717.366761,500,2506.919367
229.683397,500,2590.507599
210.43661,500,2626.447114
-14.492621,500,2663.788665
858.561307,500,2701.760199
-138.971514,500,2788.320848
246.566549,500,2825.499142
247.386568,500,2861.189783
324.92539,500,2896.493052
813.977694,500,2979.676287
863.676313,500,3015.874505
775.903614,500,3054.036212
250.306969,500,3089.418372
213.651963,500,3176.093787
341.458583,500,3213.398904
52.123751,500,3249.857411
779.919909,500,3283.946124
485.599333,500,3370.15282
831.696659,500,3407.647779
504.764449,500,3445.031039
498.82825,500,3481.412732
859.243944,500,3569.149039
485.469315,500,3607.287403
450.478029,500,3642.946623
698.311656,500,3678.215237
858.950974,500,3762.001953
413.549545,500,3797.825732
797.057745,500,3833.317758
518.53279,500,3870.061301
-41.934852,500,3959.378287
635.763774,500,3994.243385
430.941706,500,4030.452186
581.177853,500,4063.956163
231.090153,500,4139.851754
368.682262,500,4168.195257
704.276971,500,4198.359996
74.651263,500,4229.932922
230.374435,500,4299.178752
-98.415063,500,4330.00718
218.008465,500,4360.021283
553.085302,500,4389.857509
107.448943,500,4460.742605
148.136205,500,4491.931939
239.187951,500,4526.831965
845.747855,500,4560.692316
874.18505,500,4641.38901
870.299949,500,4677.72192
443.777942,500,4711.286978
227.798955,500,4744.28107
471.707181,500,4817.811135
98.509316,500,4850.497577
537.258989,500,4883.642995
553.203046,500,4916.865189
598.850256,500,4987.802458
611.937707,500,5019.799247
855.215744,500,5053.738585
280.068471,500,5086.816115
204.945584,500,5161.109647
387.749796,500,5193.428401
336.386033,500,5226.989837
255.935154,500,5262.669567
671.373471,500,5350.933446
866.494354,500,5389.119052
89.15486,500,5423.811471
263.486372,500,5459.039757
497.048361,500,5548.793881
520.950308,500,5586.020607
122.92308,500,5624.480144
422.092404,500,5660.944002
656.289947,500,5745.863425
186.409627,500,5782.965855
383.646732,500,5820.791915
189.079741,500,5856.736253
-19.905625,500,5936.710572
635.268986,500,5974.039895
188.546063,500,6011.70289
-125.251915,500,6048.568389
333.177165,500,6132.241879
846.806875,500,6167.322997
812.482016,500,6203.373853
415.389222,500,6241.829542
292.128782,500,6322.952745
812.183061,500,6359.431756
768.744312,500,6396.569683
385.14169,500,6433.939488
674.248089,500,6521.400891
813.673802,500,6559.386809
426.043389,500,6594.863424
259.096132,500,6629.329218
523.260688,500,6711.13139
449.760433,500,6747.050606
191.056285,500,6783.251747
759.816123,500,6819.507123
