#{"t_start": 1780275398.5489998, "env_id": "None"}
r,l,t
-174.945395,500,30.236515
539.381449,500,57.810649
38.96649,500,85.144393
-9.821041,500,112.359468
807.14411,500,175.464902
840.051663,500,205.173315
-152.451371,500,232.802872
843.805317,500,260.785536
826.758765,500,322.477326
-172.97577,500,350.347126
877.817927,500,378.21231
878.121786,500,406.606844
-159.807441,500,468.649207
77.179862,500,495.801091
-174.819878,500,523.967442
879.040049,500,551.221471
774.707674,500,611.833256
-175.23156,500,639.00245
836.745277,500,666.551594
745.097116,500,694.480487
577.855067,500,753.854396
732.802862,500,781.936074
-170.714316,500,808.80277
-171.784712,500,836.603006
852.289463,500,899.322803
851.84502,500,928.150308
880.230917,500,956.460239
859.171028,500,984.635165
865.140192,500,1047.577027
722.848784,500,1074.254175
820.552162,500,1103.436096
872.712471,500,1131.26562
293.235626,500,1190.523215
876.257495,500,1218.635014
-166.888122,500,1247.280136
868.5096,500,1275.268297
227.616852,500,1347.363017
523.767988,500,1382.937428
870.638512,500,1417.531617
880.988995,500,1452.279538
878.674323,500,1537.274308
758.834431,500,1571.020089
718.712344,500,1604.251574
855.401807,500,1640.213831
747.987322,500,1725.230077
748.536357,500,1758.7847
847.585774,500,1794.067405
880.658584,500,1828.279716
660.437921,500,1914.987807
877.890153,500,1950.142654
789.720552,500,1985.583603
682.890685,500,2020.62978
848.66726,500,2100.057398
860.783455,500,2135.836752
430.315943,500,2170.922932
819.986533,500,2205.592473
777.271969,500,2293.873777
734.523359,500,2328.847144
766.272456,500,2364.636568
877.386704,500,2400.241476
780.977677,500,2478.345772
391.259883,500,2513.944361
859.013354,500,2549.499838
758.784884,500,2585.612083
671.725589,500,2673.598692
880.918724,500,2708.147351
876.252303,500,2744.320763
644.766391,500,2778.84242
872.619306,500,2863.886065
611.085115,500,2898.003816
681.977856,500,2932.364069
738.724212,500,2968.433433
752.878737,500,3052.472426
819.924888,500,3087.322882
872.854229,500,3122.370349
830.582898,500,3159.150952
865.880673,500,3247.305061
744.805975,500,3283.653267
766.450107,500,3319.539412
837.801416,500,3352.341367
644.625498,500,3433.110803
873.599586,500,3468.63203
856.911748,500,3503.877665
880.083855,500,3539.153329
859.668591,500,3626.572623
468.384031,500,3660.76131
673.335855,500,3696.19618
704.577371,500,3729.301708
756.079358,500,3803.22623
869.148369,500,3838.786001
867.094762,500,3871.38916
709.82265,500,3905.704845
11.952222,500,3982.980695
626.354047,500,4017.41794
-149.640003,500,4052.017127
872.974526,500,4083.342796
876.183635,500,4151.415889
553.078617,500,4182.927015
723.371056,500,4212.70962
716.440203,500,4242.039519
578.075507,500,4308.250521
502.536326,500,4339.448623
789.174556,500,4368.573262
880.422883,500,4397.730531
787.505238,500,4461.812209
853.783464,500,4492.500921
882.13828,500,4526.720986
671.360414,500,4560.493243
874.335419,500,4640.73442
759.188447,500,4677.233065
850.351436,500,4711.313741
828.846608,500,4744.760394
-171.707247,500,4819.686095
878.028909,500,4854.613868
880.986985,500,4888.589057
879.587585,500,4921.880288
844.686599,500,4999.883198
835.579517,500,5036.084316
871.491052,500,5069.459605
882.596689,500,5103.333528
799.673825,500,5178.474441
-170.152715,500,5213.320886
875.823569,500,5247.340228
883.315065,500,5281.167962
813.565566,500,5361.048364
-157.179226,500,5398.063753
879.698504,500,5432.461465
796.392239,500,5466.019652
529.332795,500,5545.658197
731.175611,500,5579.504331
873.071418,500,5611.941616
882.145606,500,5646.308366
839.661673,500,5725.872155
880.118259,500,5762.48608
871.978593,500,5796.290215
723.570957,500,5829.920354
880.61772,500,5911.648159
807.523768,500,5947.295188
850.429716,500,5980.959949
806.334669,500,6013.664155
848.197479,500,6092.235333
882.438426,500,6127.761805
742.48292,500,6162.093038
847.125987,500,6196.770499
658.30037,500,6277.482671
879.203306,500,6312.841468
728.979026,500,6345.091667
855.981639,500,6377.325548
-160.971516,500,6456.28088
810.8906,500,6490.97894
877.433373,500,6525.696956
493.025164,500,6561.132184
819.248051,500,6642.508943
866.870379,500,6675.20366
806.990993,500,6709.87237
882.300728,500,6745.109792
797.326541,500,6833.274034
756.398308,500,6865.825122
751.735587,500,6900.487939
872.943013,500,6936.019596
801.243439,500,7025.17204
759.082755,500,7060.944577
879.519815,500,7095.706793
814.286035,500,7127.822936
773.817039,500,7207.491489
876.701474,500,7238.182416
754.276216,500,7268.347667
881.843936,500,7296.633461
861.708036,500,7367.488281
771.78872,500,7397.022619
805.970373,500,7427.281315
879.117518,500,7458.326571
870.623387,500,7530.346718
879.734772,500,7560.390323
804.112621,500,7594.42246
766.96526,500,7628.857414
829.317804,500,7713.86848
880.22527,500,7746.730329
878.056877,500,7780.296226
877.332947,500,7815.345673
883.284299,500,7898.365591
832.916662,500,7932.573303
767.256876,500,7966.903139
874.007236,500,8002.852958
695.674137,500,8086.927516
544.360886,500,8121.971688
663.274391,500,8155.521491
880.324789,500,8187.485564
867.374871,500,8267.34715
772.092835,500,8302.56419
873.544327,500,8337.725724
875.435896,500,8371.808279
876.729826,500,8454.989185
790.34705,500,8489.808535
767.465139,500,8525.540827
825.894023,500,8559.874218
829.338983,500,8639.479307
795.23009,500,8672.937981
869.774782,500,8709.376297
640.561333,500,8744.410582
791.02174,500,8829.229945
872.915279,500,8863.912
882.28837,500,8897.851882
696.966189,500,8931.556479
877.939716,500,9015.329202
881.706829,500,9048.601465
816.788802,500,9084.209305
869.182956,500,9119.535327
871.999636,500,9206.307611
877.582789,500,9241.195142
882.819561,500,9276.52964
440.395141,500,9310.175298
868.75382,500,9391.045047
-168.984908,500,9424.814615
831.908777,500,9458.710235
785.228485,500,9493.133942
698.281953,500,9580.077693
722.913375,500,9614.250541
814.666882,500,9647.781043
702.262961,500,9681.714819
725.651836,500,9761.564042
879.606005,500,9796.541099
527.33623,500,9830.929749
816.318687,500,9865.941532
745.779485,500,9951.630173
878.658602,500,9987.050297
783.736035,500,10021.899446
802.994141,500,10056.703399
879.598388,500,10141.241011
690.027918,500,10174.106361
415.329554,500,10209.073542
784.916158,500,10240.18268
871.005985,500,10319.550388
844.397394,500,10348.494347
519.818379,500,10378.543149
878.700983,500,10409.165004
867.320728,500,10482.683484
667.558904,500,10511.619601
877.388513,500,10542.936836
882.24351,500,10572.597021
782.328883,500,10642.143298
372.131229,500,10673.004
736.845797,500,10708.899858
862.900363,500,10743.937138
879.111312,500,10830.634895
806.590208,500,10866.624329
881.230375,500,10902.212128
817.997376,500,10937.876129
870.555969,500,11019.170289
782.455311,500,11054.523017
819.825943,500,11089.309306
861.152639,500,11124.317554
791.124394,500,11212.858003
880.159663,500,11249.214247
813.15589,500,11285.77461
647.294572,500,11320.29638
738.360434,500,11407.901277
700.204478,500,11442.14312
849.859318,500,11477.559956
879.115376,500,11512.196747
869.980741,500,11600.772675
769.219418,500,11636.536385
870.720322,500,11670.827941
758.300943,500,11707.639511
794.212457,500,11795.730485
878.476484,500,11831.563175
871.405835,500,11865.520281
712.988159,500,11899.621328
843.533718,500,11985.046949
877.496511,500,12019.982697
792.256853,500,12053.80289
880.559489,500,12088.023425
745.549978,500,12177.049629
837.673949,500,12211.967763
803.499256,500,12246.387991
797.24807,500,12281.63256
806.301639,500,12364.014892
844.200585,500,12399.479908
844.874402,500,12432.819743
850.856933,500,12467.5885
774.1947,500,12557.458978
801.68532,500,12592.444326
741.229061,500,12628.195499
879.236556,500,12663.875465
725.542705,500,12746.407948
878.079391,500,12780.399803
842.551387,500,12814.098094
727.005287,500,12849.323913
734.231468,500,12935.426499
753.403289,500,12970.453531
774.54782,500,13005.180793
814.338466,500,13040.301676
848.487334,500,13121.546381
738.180583,500,13156.258969
738.262438,500,13191.962043
519.424211,500,13228.26401
776.546332,500,13313.110145
676.273298,500,13345.698573
877.64359,500,13378.970427
824.08344,500,13408.511857
868.270241,500,13475.846616
871.142366,500,13505.312243
492.22757,500,13535.769797
747.518977,500,13565.514855
877.486159,500,13636.107199
794.847981,500,13667.479541
879.716351,500,13697.494
715.811148,500,13727.151345
877.890342,500,13800.400421
870.351744,500,13835.878017
879.426538,500,13871.430759
876.649548,500,13906.688257
653.178872,500,13991.136728
838.413245,500,14026.482001
802.336765,500,14061.968459
753.846689,500,14097.408648
843.437612,500,14182.307559
876.433921,500,14214.888033
867.974596,500,14248.099938
776.284967,500,14281.569031
566.497903,500,14366.413069
829.080637,500,14400.557719
709.890575,500,14435.072994
176.438794,500,14470.202428
-168.442984,500,14555.071364
879.730636,500,14590.153682
730.342078,500,14623.183228
730.663396,500,14656.442767
864.783835,500,14738.515538
727.819179,500,14774.229243
729.345007,500,14808.665884
860.62458,500,14844.232407
836.634766,500,14928.996695
687.764534,500,14965.310807
751.257321,500,14999.247356
871.447476,500,15035.883363
871.486308,500,15115.951809
781.314076,500,15151.522602
840.674273,500,15185.468157
829.237624,500,15220.0073
869.68429,500,15304.048846
879.176826,500,15339.163828
753.436371,500,15373.106844
789.826778,500,15407.82204
704.595364,500,15487.458922
879.192207,500,15521.45824
877.543334,500,15556.339604
826.822138,500,15591.486378
856.464418,500,15676.728104
859.636175,500,15713.048013
105.865623,500,15748.214953
683.259862,500,15783.537849
877.224762,500,15868.950096
880.227404,500,15904.232356
846.47614,500,15936.952803
863.485873,500,15970.961466
838.85107,500,16055.769276
878.154426,500,16092.043925
753.155065,500,16127.497849
877.004844,500,16163.286005
862.191593,500,16249.70286
871.998867,500,16285.515623
877.624287,500,16321.617097
207.050096,500,16356.130321
823.450859,500,16433.274937
635.374285,500,16464.796483
874.94148,500,16494.722605
805.747293,500,16526.059712
870.592695,500,16599.90823
784.476506,500,16630.405162
718.636305,500,16661.000537
841.264426,500,16691.127381
878.364355,500,16763.934218
870.730397,500,16792.757723
666.798188,500,16823.07455
795.539407,500,16855.942954
789.085512,500,16944.048136
838.176778,500,16979.542057
823.515882,500,17016.130896
696.942798,500,17052.035952
662.893043,500,17138.230035
873.904191,500,17170.396543
383.629259,500,17205.526161
836.294484,500,17240.072275
724.342098,500,17327.280852
880.562417,500,17362.11675
864.13868,500,17398.184377
756.154276,500,17434.375514
838.431743,500,17522.220845
745.218478,500,17555.600158
816.726501,500,17590.06386
830.30662,500,17625.532155
881.439781,500,17712.772886
877.780567,500,17747.527567
880.134819,500,17782.170299
720.521712,500,17816.47508
703.109386,500,17901.808599
184.903288,500,17935.381973
823.276968,500,17970.51991
519.783677,500,18005.504259
312.834593,500,18093.175722
879.488689,500,18128.119421
870.833257,500,18163.427343
870.811515,500,18198.653636
695.336377,500,18283.379265
749.930611,500,18316.697277
810.769689,500,18350.705385
781.273444,500,18386.61819
881.302921,500,18473.93283
873.011358,500,18508.420299
638.585128,500,18544.133143
703.044462,500,18580.27524
864.609774,500,18668.699051
848.625323,500,18702.281773
464.731181,500,18735.838017
874.277548,500,18770.129301
817.23109,500,18849.905795
618.951773,500,18884.919217
567.060754,500,18919.54325
772.288629,500,18953.014207
872.111776,500,19032.513442
865.060816,500,19066.661647
417.333773,500,19101.142846
879.120083,500,19132.935267
877.724704,500,19209.236552
867.355325,500,19243.730885
547.183492,500,19276.370014
760.579608,500,19311.206208
879.736508,500,19391.05628
208.719342,500,19422.376305
705.810583,500,19453.95858
558.093313,500,19484.884132
277.361436,500,19547.538298
664.055721,500,19576.297692
856.937831,500,19606.223825
659.115178,500,19635.775605
720.800292,500,19700.161806
712.925771,500,19728.908687
772.665645,500,19758.201834
637.827048,500,19787.616283
872.877938,500,19849.837478
684.540453,500,19883.769857
871.148217,500,19918.263108
723.974381,500,19951.032571
700.052925,500,20023.446811
879.031502,500,20056.765242
-160.569357,500,20090.315113
877.763775,500,20124.986739
652.955453,500,20200.307774
878.996409,500,20235.124099
876.768759,500,20268.289098
708.360589,500,20301.826797
734.119893,500,20377.105339
763.308002,500,20410.018513
779.372077,500,20441.45181
697.223205,500,20475.036591
747.974057,500,20561.749188
749.324698,500,20599.147635
611.144478,500,20633.602657
881.588513,500,20669.288523
732.243106,500,20754.230427
811.229853,500,20789.177371
830.567434,500,20824.109132
872.744028,500,20858.06471
881.642655,500,20942.356633
882.427185,500,20978.618117
873.07029,500,21014.039342
863.085693,500,21049.856293
767.883609,500,21137.014877
-162.879672,500,21171.428082
876.25426,500,21206.442731
877.796494,500,21241.485565
607.959797,500,21323.557606
880.898906,500,21358.643216
843.607222,500,21395.236108
724.229481,500,21432.977194
716.663199,500,21521.652475
856.436084,500,21557.311357
693.37374,500,21592.416858
787.396511,500,21627.513401
799.516822,500,21711.763492
795.086293,500,21747.767647
793.763001,500,21783.347253
881.383378,500,21819.404153
881.794165,500,21908.722629
728.343324,500,21944.227782
856.013205,500,21979.855058
875.322436,500,22013.844966
858.425427,500,22100.680413
872.037332,500,22136.930184
881.466454,500,22171.541691
878.706584,500,22206.371594
511.751833,500,22294.310426
735.209648,500,22330.458887
845.480937,500,22364.931775
880.362051,500,22399.014322
350.151026,500,22480.697399
872.961081,500,22512.762761
854.559083,500,22543.136331
881.930111,500,22573.760636
491.888501,500,22648.413404
873.091097,500,22678.230216
854.208932,500,22708.553558
788.701135,500,22738.154081
624.243241,500,22810.937499
824.207068,500,22839.875628
882.030078,500,22869.37739
607.526878,500,22900.680096
-174.506963,500,22989.925844
871.703727,500,23024.108319
850.055395,500,23058.466568
779.055524,500,23092.806957
721.232675,500,23181.870501
