#{"t_start": 1780275398.6279109, "env_id": "None"}
r,l,t
3.655934,500,30.157261
-170.598582,500,57.732107
-175.294832,500,85.065467
-143.253144,500,112.280587
834.878403,500,175.386466
-174.820004,500,205.094949
851.394312,500,232.723951
39.29716,500,260.706652
862.578999,500,322.399677
807.61821,500,350.268385
798.080087,500,378.133408
-158.644823,500,406.528047
-162.28856,500,468.57024
-174.643947,500,495.722685
844.322152,500,523.888205
869.271622,500,551.142713
849.63533,500,611.755617
876.469359,500,638.923673
201.790244,500,666.472769
846.758186,500,694.402744
663.873141,500,753.776093
-171.760346,500,781.857204
881.047313,500,808.725055
880.595647,500,836.525423
612.105265,500,899.244664
-169.335196,500,928.07161
446.326092,500,956.381197
879.005674,500,984.556371
674.021003,500,1047.498053
647.794651,500,1074.175133
777.137874,500,1103.357077
689.839927,500,1131.186173
862.237417,500,1190.444518
863.924158,500,1218.555424
830.803486,500,1247.201387
880.391233,500,1275.191581
865.696734,500,1347.285375
509.583378,500,1382.858598
881.426249,500,1417.451811
801.517123,500,1452.200692
880.530818,500,1537.195549
825.701249,500,1570.941106
581.487887,500,1604.172752
879.044125,500,1640.135468
367.033024,500,1725.151218
-171.998588,500,1758.706659
471.543323,500,1793.989076
796.706437,500,1828.201008
801.716516,500,1914.909844
839.152361,500,1950.063879
873.694073,500,1985.50486
674.508667,500,2020.550626
797.039559,500,2099.978543
872.623976,500,2135.757607
754.184106,500,2170.846116
-172.003658,500,2205.512936
616.7036,500,2293.795062
878.014343,500,2328.768317
653.009192,500,2364.558773
845.953937,500,2400.162565
879.584328,500,2478.266328
659.440273,500,2513.866725
848.578174,500,2549.42054
883.054702,500,2585.533514
817.61311,500,2673.519535
-166.515991,500,2708.06844
880.409659,500,2744.242183
710.333064,500,2778.763662
869.929225,500,2863.807139
819.447795,500,2897.925101
881.560774,500,2932.287064
777.883277,500,2968.354496
624.431298,500,3052.393464
879.315175,500,3087.243993
593.397651,500,3122.294155
836.486195,500,3159.072111
686.383204,500,3247.227511
882.626635,500,3283.573965
859.570786,500,3319.461767
881.297031,500,3352.263523
879.184605,500,3433.032447
-164.152359,500,3468.553223
767.539489,500,3503.798881
786.365647,500,3539.07457
880.534477,500,3626.493464
871.246089,500,3660.681465
861.848067,500,3696.117583
834.852382,500,3729.222611
779.470979,500,3803.147836
776.671279,500,3838.706664
880.659234,500,3871.310551
864.421011,500,3905.625731
872.746392,500,3982.901658
-166.485044,500,4017.338805
860.237259,500,4051.938355
541.337028,500,4083.265188
530.319703,500,4151.337042
882.462246,500,4182.848275
880.703374,500,4212.630194
880.580943,500,4241.959841
685.928782,500,4308.1712
596.120415,500,4339.370063
848.356268,500,4368.494744
877.834737,500,4397.651037
187.074659,500,4461.733354
707.670467,500,4492.422139
136.146927,500,4526.642205
692.631264,500,4560.415241
879.208127,500,4640.655838
871.055862,500,4677.155267
874.567983,500,4711.234942
712.998674,500,4744.683176
750.733989,500,4819.607011
867.969509,500,4854.534056
849.088566,500,4888.509854
546.119349,500,4921.80121
875.661899,500,4999.804406
-162.678492,500,5036.00557
472.385189,500,5069.379566
791.385979,500,5103.254526
872.266978,500,5178.395494
860.773857,500,5213.241923
731.694008,500,5247.260879
854.007507,500,5281.089423
865.365417,500,5360.969453
701.892285,500,5397.984687
872.051525,500,5432.383628
754.898018,500,5465.940692
879.952082,500,5545.5804
883.253013,500,5579.424623
746.756232,500,5611.862797
697.336273,500,5646.229501
-173.319491,500,5725.793355
-173.939071,500,5762.409123
795.751438,500,5796.2132
734.69228,500,5829.840605
880.846084,500,5911.56916
797.563673,500,5947.216138
628.743093,500,5980.881139
633.790726,500,6013.585147
881.992991,500,6092.156525
626.66052,500,6127.682985
794.678716,500,6162.013659
632.653542,500,6196.691446
746.975966,500,6277.403702
776.86329,500,6312.762873
881.9019,500,6345.010989
797.237093,500,6377.246715
881.1447,500,6456.201954
821.933759,500,6490.900198
850.337642,500,6525.61949
463.452818,500,6561.053581
700.361673,500,6642.430624
207.172345,500,6675.126331
881.023102,500,6709.794508
880.838283,500,6745.031582
538.234459,500,6833.195281
881.134231,500,6865.744672
878.964117,500,6900.409896
807.547703,500,6935.940851
763.015714,500,7025.09497
721.336853,500,7060.865239
881.629553,500,7095.627122
871.606704,500,7127.745009
790.470814,500,7207.412707
298.218716,500,7238.103326
815.588535,500,7268.268837
771.218392,500,7296.554215
612.659001,500,7367.410397
742.731307,500,7396.94374
718.361495,500,7427.201403
806.601137,500,7458.247472
831.938995,500,7530.267812
882.111351,500,7560.310427
837.800048,500,7594.343797
881.420686,500,7628.778503
873.001721,500,7713.790576
877.781668,500,7746.651653
882.377029,500,7780.2174
879.972668,500,7815.266762
-172.651775,500,7898.287568
795.530688,500,7932.493222
870.932395,500,7966.824178
745.503099,500,8002.773828
871.096448,500,8086.848751
882.024797,500,8121.893942
232.776373,500,8155.441981
881.935588,500,8187.406818
875.21346,500,8267.268279
881.322925,500,8302.487386
871.194591,500,8337.647802
868.210884,500,8371.729276
884.220746,500,8454.910635
880.682759,500,8489.7299
839.406826,500,8525.461959
859.280477,500,8559.795419
883.668123,500,8639.400331
756.745051,500,8672.859193
803.427452,500,8709.298395
830.461498,500,8744.332072
681.983376,500,8829.151361
878.56899,500,8863.833084
750.018849,500,8897.772347
880.861449,500,8931.477552
726.401598,500,9015.250298
855.495627,500,9048.522693
880.29785,500,9084.130481
848.92615,500,9119.456418
760.415534,500,9206.228656
476.304316,500,9241.116405
647.460562,500,9276.448947
765.830566,500,9310.096709
877.251718,500,9390.966622
846.830504,500,9424.736751
721.417141,500,9458.631349
237.953593,500,9493.05509
869.968782,500,9579.998946
766.832169,500,9614.171732
721.351591,500,9647.702265
718.27163,500,9681.635933
743.999147,500,9761.485418
809.735466,500,9796.46226
830.66963,500,9830.851249
724.456606,500,9865.86308
879.884004,500,9951.552624
757.456587,500,9986.971452
608.159024,500,10021.821358
