#{"t_start": 1780275399.638001, "env_id": "None"}
r,l,t
-3.293611,500,29.150575
758.752891,500,56.724511
449.75296,500,84.055676
758.398358,500,111.276136
-160.017351,500,174.376843
-174.47578,500,204.085613
-175.661111,500,231.71754
-174.366388,500,259.696573
845.232828,500,321.390079
781.919897,500,349.258955
843.872859,500,377.124077
846.163624,500,405.519587
-152.453979,500,467.561032
624.351334,500,494.715871
805.696426,500,522.879961
-169.879163,500,550.131958
846.433662,500,610.745893
767.496683,500,637.91407
260.658925,500,665.46912
463.518923,500,693.393171
880.589428,500,752.766457
866.016511,500,780.85528
878.284262,500,807.715783
880.144985,500,835.515751
868.158305,500,898.233311
880.500197,500,927.063666
278.127027,500,955.371673
881.842772,500,983.54618
623.608118,500,1046.488725
840.968205,500,1073.166666
780.24319,500,1102.347343
870.721729,500,1130.177182
870.037231,500,1189.436826
642.484038,500,1217.545348
840.70474,500,1246.191178
-170.632396,500,1274.181858
862.596319,500,1346.275613
870.498735,500,1381.84753
881.092094,500,1416.442371
879.374968,500,1451.190979
804.80754,500,1536.184887
871.82344,500,1569.929948
740.617961,500,1603.162878
694.645665,500,1639.126154
772.071937,500,1724.141684
703.068453,500,1757.698285
735.552307,500,1792.980012
309.085618,500,1827.191881
733.55753,500,1913.902115
798.891867,500,1949.054254
877.670987,500,1984.494938
876.842753,500,2019.540918
880.976747,500,2098.968543
196.991385,500,2134.747942
696.820026,500,2169.834757
724.392297,500,2204.50256
871.571606,500,2292.785161
778.730194,500,2327.757332
-140.210339,500,2363.549436
810.977542,500,2399.153018
878.919313,500,2477.256883
877.85896,500,2512.855881
333.623929,500,2548.41093
759.324592,500,2584.524459
880.28405,500,2672.510723
879.234572,500,2707.061784
796.483898,500,2743.231495
882.95325,500,2777.753961
-167.507788,500,2862.797266
880.797848,500,2896.915096
-150.592826,500,2931.276491
701.690916,500,2967.345478
857.168109,500,3051.382995
11.680823,500,3086.234043
862.295284,500,3121.281925
884.205458,500,3158.062424
798.170352,500,3246.217577
867.987003,500,3282.564715
764.651534,500,3318.451231
872.011668,500,3351.253814
600.538609,500,3432.022041
821.60109,500,3467.550233
874.776561,500,3502.789036
860.367787,500,3538.064571
752.024464,500,3625.484009
740.660211,500,3659.671567
766.154824,500,3695.108033
854.518114,500,3728.213117
871.53467,500,3802.138177
872.90557,500,3837.697085
-163.202543,500,3870.300708
795.4878,500,3904.615806
830.400413,500,3981.892279
745.048555,500,4016.32895
870.660586,500,4050.928405
850.462072,500,4082.254656
879.978514,500,4150.328545
878.755545,500,4181.838634
595.364169,500,4211.618183
786.092403,500,4240.950053
643.721298,500,4307.16164
662.602207,500,4338.360079
811.248475,500,4367.486097
880.669398,500,4396.64172
763.873462,500,4460.723717
814.959996,500,4491.412424
220.327494,500,4525.632793
845.966909,500,4559.405519
166.164183,500,4639.645892
740.830103,500,4676.145146
714.61884,500,4710.225349
782.478483,500,4743.672238
719.245902,500,4818.599424
854.620464,500,4853.525877
768.350839,500,4887.499694
877.113077,500,4920.791345
568.745486,500,4998.794605
487.256062,500,5034.995672
751.159727,500,5068.370545
792.437693,500,5102.244758
799.998436,500,5177.385531
832.964259,500,5212.232311
753.575033,500,5246.25371
803.319706,500,5280.078985
871.275591,500,5359.970035
880.225321,500,5396.975145
700.644859,500,5431.374093
881.23982,500,5464.931428
745.37004,500,5544.570522
871.024862,500,5578.415811
816.999773,500,5610.854247
697.771065,500,5645.219571
746.84587,500,5724.783611
712.437368,500,5761.400242
772.458048,500,5795.202781
844.879273,500,5828.830326
839.325632,500,5910.559214
811.895079,500,5946.206296
765.799668,500,5979.872984
863.643563,500,6012.57531
739.40842,500,6091.147006
778.34786,500,6126.673089
881.160948,500,6161.004446
794.124387,500,6195.681962
744.648473,500,6276.394136
880.610864,500,6311.752773
806.192002,500,6344.002663
528.792744,500,6376.236365
879.662314,500,6455.192143
753.909335,500,6489.890593
748.50006,500,6524.608437
849.433972,500,6560.043274
863.948367,500,6641.421525
766.405272,500,6674.115655
881.362118,500,6708.784705
-170.066408,500,6744.020648
872.834222,500,6832.185376
-174.20001,500,6864.735418
722.114859,500,6899.39994
363.946099,500,6934.93079
882.375823,500,7024.085525
592.959627,500,7059.855753
809.751877,500,7094.617568
744.888958,500,7126.735629
818.18122,500,7206.403363
667.561825,500,7237.093611
741.601094,500,7267.260689
867.480649,500,7295.547085
850.583942,500,7366.399999
879.396173,500,7395.933869
881.626646,500,7426.192493
882.611013,500,7457.237996
797.65216,500,7529.257699
879.26253,500,7559.301379
752.970955,500,7593.333866
739.258764,500,7627.768457
879.217069,500,7712.780653
870.476046,500,7745.64239
710.322062,500,7779.20617
877.83888,500,7814.260528
868.075202,500,7897.277377
794.576958,500,7931.484423
883.747855,500,7965.815722
880.573342,500,8001.7636
740.569248,500,8085.839371
878.780082,500,8120.884451
812.540743,500,8154.431957
762.065842,500,8186.396945
861.091571,500,8266.25918
808.521823,500,8301.477079
878.207206,500,8336.637857
871.956288,500,8370.72072
791.697071,500,8453.901152
295.631969,500,8488.720495
811.36948,500,8524.452266
869.856851,500,8558.785848
246.678476,500,8638.390908
686.72967,500,8671.84926
812.629286,500,8708.288865
789.315401,500,8743.322272
878.250673,500,8828.140732
765.407275,500,8862.823421
697.991373,500,8896.761306
769.372167,500,8930.467051
723.974351,500,9014.241396
879.342925,500,9047.512753
629.539285,500,9083.120589
867.409924,500,9118.44531
717.431925,500,9205.21893
878.432706,500,9240.106355
870.560278,500,9275.441604
821.327796,500,9309.087001
761.466691,500,9389.956735
878.692429,500,9423.734038
813.508969,500,9457.621301
580.752974,500,9492.045469
879.690671,500,9578.989146
779.47997,500,9613.161861
644.924297,500,9646.692088
847.396919,500,9680.626878
874.925818,500,9760.47573
881.281759,500,9795.451997
331.977406,500,9829.846326
871.760823,500,9864.853291
