#{"t_start": 1780282056.1241858, "env_id": "None"}
r,l,t
96.598289,500,37.792322
-18.923495,500,72.623261
296.401819,500,107.183816
491.56881,500,140.479474
402.088161,500,215.833947
543.761288,500,250.347993
274.561003,500,286.570003
783.707059,500,320.351072
-172.877333,500,401.107778
-148.062952,500,436.207172
201.531011,500,468.359263
347.190509,500,502.109243
705.31596,500,569.369685
500.044371,500,599.835744
224.849286,500,627.732978
627.707461,500,656.009909
503.866445,500,722.882835
250.884243,500,752.985017
323.500113,500,782.481089
43.777708,500,813.412863
566.425018,500,880.766852
-165.033798,500,910.684142
-174.891334,500,945.676055
694.706756,500,980.207495
-109.679556,500,1060.215563
500.965853,500,1092.623552
608.533881,500,1126.00444
-25.284162,500,1161.361571
575.008642,500,1241.579539
148.867683,500,1275.755364
872.264094,500,1310.15832
424.918871,500,1346.080651
479.958134,500,1427.499656
150.630234,500,1462.765738
538.547991,500,1497.044258
705.737457,500,1528.63033
740.397485,500,1604.963181
545.617231,500,1639.664894
201.119684,500,1675.434274
385.52081,500,1709.937993
54.550469,500,1790.660816
292.469543,500,1824.992809
-158.486139,500,1860.428958
410.977588,500,1894.782626
862.891277,500,1971.523881
199.678775,500,2004.720445
798.318332,500,2040.440588
262.316222,500,2076.371027
130.315596,500,2157.351816
778.351503,500,2192.812316
856.25182,500,2225.791699
-150.09335,500,2259.835136
573.593331,500,2336.927888
209.646207,500,2371.438507
864.407888,500,2406.208199
861.5628,500,2443.024867
475.120759,500,2525.506415
503.513397,500,2561.741742
191.340273,500,2596.544113
164.594851,500,2631.016499
145.442588,500,2706.032166
432.79983,500,2740.627064
-2.759288,500,2774.483923
147.72179,500,2808.454953
478.031323,500,2889.266368
-172.171273,500,2925.742518
371.989703,500,2959.661079
-166.296193,500,2993.264644
806.54356,500,3070.545441
174.569519,500,3105.776079
484.827398,500,3141.439653
861.482252,500,3175.988455
809.635556,500,3256.874605
679.79223,500,3291.348531
818.239795,500,3327.17808
428.440334,500,3361.362956
638.073965,500,3443.084358
855.238286,500,3476.641142
248.244972,500,3509.608362
804.199354,500,3543.476327
748.270418,500,3618.92182
469.597952,500,3649.424657
470.912972,500,3678.33333
-172.215935,500,3707.813039
-46.843049,500,3776.482769
531.288359,500,3806.956277
-141.239657,500,3836.55267
-151.302396,500,3865.313864
-174.039538,500,3930.754784
382.389138,500,3960.07619
-165.03687,500,3990.337737
