#{"t_start": 1780269632.7620745, "env_id": "None"}
r,l,t
-170.806057,500,26.298254
-158.775989,500,48.866325
-165.99821,500,72.836503
810.731206,500,96.868032
769.812334,500,145.619888
-173.279693,500,170.063789
-157.693381,500,193.464694
880.263411,500,217.351012
-149.093944,500,265.480217
881.248483,500,290.318556
885.067853,500,314.962237
878.495934,500,338.030256
881.423679,500,386.360709
730.855567,500,411.483186
875.568063,500,436.29335
716.378042,500,461.448664
880.866462,500,513.591575
878.212875,500,538.693063
881.920558,500,564.109172
881.677242,500,587.941567
882.339247,500,640.418005
881.301104,500,665.295741
885.962018,500,690.244629
884.157213,500,715.225568
818.268703,500,769.808707
820.52411,500,795.418111
880.815709,500,820.466915
875.744548,500,846.018535
883.957658,500,898.456344
653.351272,500,923.733932
688.501369,500,948.946061
637.993629,500,974.811001
816.174481,500,1026.535266
781.382441,500,1052.428297
883.242546,500,1077.911888
881.619466,500,1102.640474
879.639584,500,1154.371782
823.372256,500,1179.232692
882.964514,500,1204.279438
872.623096,500,1230.149234
882.527781,500,1283.572144
882.697726,500,1309.04129
797.085085,500,1334.918443
815.977342,500,1360.351502
663.059224,500,1415.943704
882.792055,500,1441.341407
831.788883,500,1466.922884
879.983029,500,1491.61505
883.328137,500,1545.026419
799.979151,500,1570.860395
795.484664,500,1595.709214
798.073786,500,1621.337946
852.213581,500,1675.987477
837.355967,500,1701.617449
884.001837,500,1727.414886
811.01541,500,1752.351394
818.644149,500,1804.141649
759.706397,500,1829.249469
883.930895,500,1854.037245
834.784182,500,1880.10853
753.261407,500,1934.598304
805.626124,500,1960.690491
883.277106,500,1985.490615
809.869676,500,2010.827202
883.648556,500,2062.636912
799.112558,500,2087.408054
884.715606,500,2111.743401
813.132673,500,2136.401585
884.679353,500,2187.010851
884.186521,500,2211.985753
884.622377,500,2236.834108
517.965067,500,2261.877847
782.650991,500,2313.557209
830.480963,500,2338.114794
783.150607,500,2362.708792
835.846975,500,2387.608335
834.076789,500,2439.296881
778.349217,500,2464.096544
787.157938,500,2489.106433
776.396972,500,2514.213539
882.480723,500,2566.573359
882.014831,500,2591.246722
731.622205,500,2616.461949
886.170639,500,2641.799519
832.891615,500,2693.549111
884.680033,500,2718.428698
881.089682,500,2742.813059
885.385313,500,2767.022265
883.846876,500,2819.339888
786.076298,500,2844.053699
884.538281,500,2869.556359
884.013921,500,2894.509318
884.832633,500,2946.045685
831.365362,500,2971.072788
790.405878,500,2995.505477
882.875532,500,3020.424282
856.060999,500,3071.863382
884.928829,500,3096.48013
